,Date,Open,High,Low,Close,Adj Close,Volume,environment_negative_percentage,government_negative_percentage,neutral_negative_percentage,social_negative_percentage,environment_positive_percentage,government_positive_percentage,neutral_positive_percentage,social_positive_percentage
143,2024-04-09,26.77,27.42,26.65,26.780001,26.01499,45193600,,,0.0,50.0,,,100.0,50.0
144,2024-04-10,26.52,26.59,26.16,26.32,25.56813,44541600,,0.0,,100.0,,100.0,,0.0
145,2024-04-11,26.35,26.450001,26.129999,26.34,25.587559,32814500,,100.0,,100.0,,0.0,,0.0
146,2024-04-12,26.25,26.32,25.83,25.860001,25.121271,42985600,,0.0,,33.33333333333333,,100.0,,66.66666666666666
147,2024-04-15,25.91,26.17,25.75,25.91,25.169842,35660200,,60.0,,50.0,,40.0,,50.0
148,2024-04-16,25.82,25.99,25.68,25.690001,24.956127,28885300,0.0,87.5,,42.857142857142854,100.0,12.5,,57.14285714285714
149,2024-04-17,25.690001,25.690001,25.26,25.42,24.69384,43828900,33.33333333333333,0.0,,42.857142857142854,66.66666666666666,100.0,,57.14285714285714
150,2024-04-18,25.35,25.459999,25.23,25.389999,24.664696,35788400,50.0,100.0,,50.0,50.0,0.0,,50.0
151,2024-04-19,25.389999,26.0,25.35,26.0,25.257273,38337400,40.0,50.0,100.0,100.0,60.0,50.0,0.0,0.0
152,2024-04-22,26.0,26.5,25.93,26.26,25.509844,35678700,,66.66666666666666,,25.0,,33.33333333333333,,75.0
153,2024-04-23,26.33,26.469999,26.190001,26.32,25.56813,24297800,,75.0,50.0,28.57142857142857,,25.0,50.0,71.42857142857143
154,2024-04-24,26.25,26.34,26.040001,26.27,25.51956,24547800,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0
155,2024-04-25,26.27,26.43,25.25,25.26,24.53841,47661400,,0.0,,40.0,,100.0,,60.0
156,2024-04-26,25.33,25.540001,25.200001,25.4,24.67441,46526500,,100.0,100.0,0.0,,0.0,0.0,100.0
157,2024-04-29,25.58,25.85,25.540001,25.639999,24.907555,39995300,,50.0,100.0,33.33333333333333,,50.0,0.0,66.66666666666666
158,2024-04-30,25.65,25.83,25.59,25.620001,24.888126,38017700,0.0,83.33333333333334,,54.54545454545454,100.0,16.666666666666664,,45.45454545454545
159,2024-05-01,26.33,27.450001,26.02,27.18,26.403563,97388900,100.0,100.0,100.0,66.66666666666666,0.0,0.0,0.0,33.33333333333333
160,2024-05-02,27.209999,27.940001,27.120001,27.700001,26.908709,69649000,75.0,50.0,100.0,50.0,25.0,50.0,0.0,50.0
161,2024-05-03,27.860001,27.91,27.52,27.809999,27.015564,60568900,,0.0,,100.0,,100.0,,0.0
162,2024-05-06,27.98,28.33,27.959999,28.16,27.355568,59899700,,0.0,,100.0,,100.0,,0.0
163,2024-05-07,28.290001,28.49,27.4,27.77,26.976709,65606400,50.0,100.0,,,50.0,0.0,,
164,2024-05-08,27.700001,28.34,27.52,28.27,27.462425,39087800,,100.0,,33.33333333333333,,0.0,,66.66666666666666
165,2024-05-09,27.76,28.25,27.32,28.18,27.787834,47831100,,66.66666666666666,,66.66666666666666,,33.33333333333333,,33.33333333333333
166,2024-05-13,28.190001,28.65,28.17,28.440001,28.044216,39609800,,33.33333333333333,,0.0,,66.66666666666666,,100.0
167,2024-05-14,28.549999,28.68,28.190001,28.379999,27.985048,23530900,,,0.0,87.5,,,100.0,12.5
168,2024-05-15,28.49,28.99,28.48,28.82,28.418926,38376300,66.66666666666666,0.0,100.0,75.0,33.33333333333333,100.0,0.0,25.0
169,2024-05-16,28.870001,29.030001,28.67,28.92,28.517534,40077800,100.0,100.0,,57.14285714285714,0.0,0.0,,42.857142857142854
